Título,Autor,Ano de publicação,Número de páginas
O Caçador de Pipas,Khaled Hosseini,2003,368
Torto Arado,Itamar Vieira Junior,2019,264
1984,George Orwell,1949,328
Dom Casmurro,Machado de Assis,1899,256
O Hobbit,J.R.R. Tolkien,1937,320
A Revolução dos Bichos,George Orwell,1945,152
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Orgulho e Preconceito,Jane Austen,1813,416
O Senhor dos Anéis,J.R.R. Tolkien,1954,1216
Grande Sertão: Veredas,João Guimarães Rosa,1956,624
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
